Class Code:,Assignment Name:,Start Time,End Time,Wasted Time (Optional):,Time Spent:,,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,,,Day Count:,Day:,Homework Total:,Day:,SPAN301,ENG301,SOM11/Free/Free Group 1,PHIL250,MATH301,BIO210,HIST301,CHEM230,QUEST,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday times,Tuesday times,Wednesday times,Thursday times,Friday times,Saturday times,Sunday times,,Day of Week:,Time:,Day:,Cumulative Time:
Monday,DAY,8,28,,0:00,20.03,,1,SPAN301,16,0:30:00,8:00:00,11:03:00,-3:03:00,24.26%,SPAN301,,,1,1,20.03,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,20.00,0.00,0.00,0.00,0.00,0.00,0.00,,Monday,#REF!,1,20.03
MATH301,Still Stuck?,22:12,22:48,0:00:00,0:36,0.00,,2,ENG301,16,0:30:00,8:00:00,-13:46:00,21:46:00,-30.22%,ENG301,,,1,2,22.02,2,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,Tuesday,#REF!,2,42.05
Tuesday,DAY,8,29,0:00:00,0:00,22.02,,3,SOM11/Free/Free Group 1,6,0:30:00,3:00:00,0:00:00,3:00:00,0.00%,SOM11/Free/Free Group 1,,,2,3,23.02,3,0.00,0.03,0.00,0.00,0.00,0.01,0.02,0.00,0.00,,,1.00,2.00,0.00,0.00,0.00,0.00,0.00,,0.00,21.00,0.00,0.00,0.00,0.00,0.00,,Wednesday,#REF!,3,65.07
BIO210,The Question,22:10,22:25,0:00:00,0:15,0,,4,PHIL250,16,0:30:00,8:00:00,11:04:00,-3:04:00,24.30%,PHIL250,,,2,4,-20.95,4,0.02,0.03,0.01,0.00,0.00,0.04,0.03,0.00,0.00,,,1.00,2.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,Thursday,#REF!,4,44.12
ENG301,Crucible,23:10,23:29,,0:19,0.00,,5,MATH301,16,0:30:00,8:00:00,9:33:00,-1:33:00,20.97%,MATH301,,,2,5,0.03,5,0.02,0.03,0.01,0.00,0.00,0.04,0.03,0.00,0.00,,,1.00,2.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,Friday,#REF!,5,44.15
Wednesday,DAY,8,30,0:00:00,0:00,23.02,,6,BIO210,16,0:30:00,8:00:00,14:00:00,-6:00:00,30.74%,BIO210,,,3,6,0.02,6,0.02,0.03,0.01,0.00,0.00,0.04,0.03,0.00,0.00,,,1.00,2.00,3.00,0.00,0.00,0.00,0.00,,0.00,0.00,22.00,0.00,0.00,0.00,0.00,,Saturday,#REF!,6,44.17
ENG301,Crucible,8:07,8:30,0:00:00,0:23,0,,7,HIST301,16,0:30:00,8:00:00,9:57:00,-1:57:00,21.84%,HIST301,,,3,7,-2.91,7,0.02,0.10,0.01,0.02,0.00,0.04,0.08,0.00,0.00,,,1.00,2.00,3.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,0.00,0.00,,Sunday,#REF!,7,41.26
HIST301,Pages 3-14,15:55,16:00,,0:05,0.00,,8,CHEM230,16,0:30:00,8:00:00,3:42:00,4:18:00,8.12%,CHEM230,,,3,8,-1.94,8,0.06,0.10,0.01,0.03,0.01,0.04,0.08,0.00,0.00,,,1.00,2.00,3.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,8,39.32
HIST301,Pages 3-14,23:05,23:25,0:00:00,0:20,0,,9,QUEST,1,40:00:00,40:00:00,0:04:00,39:56:00,0.15%,QUEST,,,3,9,0.04,9,0.06,0.10,0.01,0.03,0.01,0.04,0.11,0.01,0.00,,,1.00,2.00,3.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,9,39.35
Thursday,DAY,8,31,0:00:00,0:00,-20.95,,Totals:,,,,59:00:00,45:33:00,13:27:00,100.00%,,,,4,10,1.13,10,0.08,0.10,0.01,0.07,0.01,0.06,0.11,0.02,0.00,,,1.00,2.00,3.00,4.00,0.00,0.00,0.00,,0.00,0.00,0.00,23.00,0.00,0.00,0.00,,,,10,40.48
HIST301,Pages 3-14,8:15,8:24,,0:09,0,,,,,,,,,,,,,4,11,0.06,11,0.08,0.10,0.01,0.07,0.01,0.06,0.11,0.02,0.00,,,1.00,2.00,3.00,4.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,11,40.54
HIST301,Pages 3-14,8:30,8:39,,0:09,0,,,,,,,,,,,,,4,12,2.01,12,0.08,0.12,0.01,0.07,0.01,0.06,0.11,0.02,0.00,,,1.00,2.00,3.00,4.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,12,42.55
BIO210,Dolly the Sheep,8:40,9:20,0:00:00,0:40,0,,,,,,,,,,,,,4,13,7.18,13,0.11,0.14,0.01,0.18,0.16,0.08,0.11,0.02,0.00,,,1.00,2.00,3.00,4.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.03,0.00,0.00,0.00,,,,13,49.74
SPAN301,Carta de presentacion,9:23,9:54,0:00:00,0:31,0,,,,,,,,,,,,,4,14,5.07,14,0.11,0.17,0.01,0.18,0.16,0.08,0.13,0.05,0.00,,,1.00,2.00,3.00,4.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.02,0.00,0.00,0.00,,,,14,54.81
Friday,DAY,9,1,0:00:00,0:00,0.03,,,,,,,,,,,,,5,15,21.07,15,0.13,0.17,0.01,0.21,0.19,0.13,0.13,0.05,0.00,,,1.00,2.00,3.00,4.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.00,-8.00,0.00,0.00,,,,15,75.88
