Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,0.1784722222
Saturday,DAY,9,/9,0:00,0.18,1,PHYS110,15,0:30:00,7:30:00,7:18:00,0:12:00,12.89%,PHYS110,1,1,0.18
SPAN501,"rereading ""Online"" and writing response",12:30,13:30,1:00,0.00,2,ENG301,15,0:30:00,7:30:00,10:00:00,-2:30:00,17.65%,ENG301,1,2,0.07
SPAN501,"Online continued, rewriting discussion point",15:30,16:48,1:18,0,3,SPAN501,15,0:30:00,7:30:00,13:38:00,-6:08:00,24.07%,SPAN501,1,3,0.03
PHYS110,Worksheet,16:50,17:19,0:29,0,4,PHIL250,15,0:30:00,7:30:00,5:54:00,1:36:00,10.41%,PHIL250,1,4,0.21
MATH301,Custom problem write-up,20:00,20:30,0:30,0.00,5,MATH301,15,0:30:00,7:30:00,8:34:00,-1:04:00,15.12%,MATH301,1,5,0.06
MATH301,Write-up continued,22:30,23:30,1:00,0,6,SOM,15,0:30:00,7:30:00,0:08:00,7:22:00,0.24%,SOM,1,6,0.10
Sunday,DAY,9,/10,0:00,0.07,7,HIST301,14,0:30:00,7:00:00,10:22:00,-3:22:00,18.30%,HIST301,2,7,0.04
ENG301,Reading crucible act 3,13:20,14:00,0:40,0.00,8,THTR220,14,0:30:00,7:00:00,0:45:00,6:15:00,1.32%,THTR220,2,8,0.07
PHIL250,Reading: What is it like to be boring and myopic?,21:00,22:00,1:00,0,9,QUEST,1,40:00:00,40:00:00,0:00:00,40:00:00,0.00%,QUEST,2,9,0.08
Monday,DAY,9,/11,0:00,0.03,Totals:,,,,59:00:00,56:39:00,2:21:00,100.00%,,3,10,0.13
MATH301,Statistics #1,21:30,22:05,0:35,0,,,,,,,,,,3,11,0.11
ENG301,Crucible reading: act 4,23:10,23:30,0:20,0,,Day of Week:,Time:,,,,,,,3,12,0.08
Tuesday,DAY,9,/12,0:00,0.21,,Monday,0.30,,,,,,,4,13,0.12
MATH301,Statistics #1 continued,8:30,8:50,0:20,0,,Tuesday,0.59,,,,,,,4,14,0.19
SPAN501,Video,9:00,9:05,0:05,0.00,,Wednesday,0.30,,,,,,,4,15,0.25
