Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Monday,DAY,8,/27,0:00,1:39,1,PHYS350,15,0:30:00,7:30:00,5:56:00,1:34:00,8.70%,PHYS350,1,1,0.07
ENG301,Crucible Introduction + Prologue,3:55:00 PM,5:03:00 PM,1:08,0:00,2,HIST301,15,0:30:00,7:30:00,13:56:00,-6:26:00,20.44%,HIST301,1,2,0.08
MATH401,Look Over Sample Projects,9:10:00 PM,9:20:00 PM,0:10,0:00,3,FA160,15,0:30:00,7:30:00,1:34:00,5:56:00,2.30%,FA160,1,3,0.05
PHYS350,Look Over Introductory Materials,9:22:00 PM,9:33:00 PM,0:11,0:00,4,ENG301,15,0:30:00,7:30:00,19:11:00,-11:41:00,28.14%,ENG301,1,4,0.14
QUEST,Call Ryan Stagg,3:45:00 PM,3:55:00 PM,0:10,0:00,5,MATH401,15,0:30:00,7:30:00,8:30:00,-1:00:00,12.47%,MATH401,1,5,0.11
Tuesday,DAY,8,/28,0:00,1:51,6,SOM11,15,0:30:00,7:30:00,0:05:00,7:25:00,0.12%,SOM11,2,6,0.17
ENG301,Summarize New Orleans Speech,4:35:00 PM,5:05:00 PM,0:30,0:00,7,SPAN501,14,0:30:00,7:00:00,14:48:00,-7:48:00,21.71%,SPAN501,2,7,0.00
SPAN501,Leer Cuentos,10:02:00 PM,10:22:00 PM,0:20,0:00,8,CS220,14,0:30:00,7:00:00,4:10:00,2:50:00,6.11%,CS220,2,8,0.07
MATH401,Attempt to solve (1/a+da),8:55:00 PM,9:37:00 PM,0:42,0:00,9,QUEST,1,40:00:00,40:00:00,0:49:00,39:11:00,1.20%,QUEST,2,9,0.06
ENG301,Summarize New Orleans Speech,9:40:00 PM,9:59:00 PM,0:19,0:00,Totals:,,,,59:00:00,68:10:00,-9:10:00,100.00%,,2,10,0.00
Wednesday,DAY,8,/29,0:00,1:13,,,,,,,,,,3,11,0.00
EFD150,Yellow Sheet,12:19:00 AM,12:43:00 AM,0:24,0:00,,Day of Week:,Time:,,,,,,,3,12,0.09
QUEST,Call Ryan Stagg,3:07:00 PM,3:30:00 PM,0:23,0:00,,Monday,14:29,,,,,,,3,13,0.04
HIST301,Textbook p3-14,7:49:00 AM,8:15:00 AM,0:26,0:00,,Tuesday,11:38,,,,,,,3,14,0.05
Saturday,DAY,9,/2,0:00,3:15,,Wednesday,10:11,,,,,,,4,15,0.04
CS220,Create a Class,11:30:00 AM,2:45:00 PM,3:15,0:00,,Thursday,9:51,,,,,,,4,16,0.03
Sunday,DAY,9,/3,0:00,2:38,,Friday,0:35,,,,,,,5,17,0.00
HIST301,"Reader ""1491""",11:02:00 AM,12:42:00 PM,1:40,0:00,,Saturday,10:17,,,,,,,5,18,0.00
HIST301,"Reader ""1491""",2:28:00 PM,2:36:00 PM,0:08,0:00,,Sunday,12:22,,,,,,,5,19,0.00
HIST301,"Reader ""Megadeath in Mexico""",2:52:00 PM,3:16:00 PM,0:24,0:00,,,,,,,,,,5,20,0.10
ENG301,Read to end of Act I,6:28:00 PM,6:54:00 PM,0:26,0:00,,,,,,,,,,5,21,0.14
Monday,DAY,9,/4,0:00,4:04,,,,,,,,,,6,22,0.02
ENG301,Read to end of Act I,10:50:00 AM,11:56:00 AM,1:06,0:00,,,,,,,,,,6,23,0.06
ENG301,Read to end of Act I,1:02:00 PM,1:22:00 PM,0:20,0:00,,,,,,,,,,6,24,0.00
ENG301,Read to end of Act II,5:27:00 PM,6:06:00 PM,0:39,0:00,,,,,,,,,,6,25,0.00
MATH401,Practice with Functions,7:04:00 PM,7:21:00 PM,0:17,0:00,,,,,,,,,,6,26,0.17
PHYS350,Electrostatics Lecture,7:24:00 PM,7:31:00 PM,0:07,0:00,,,,,,,,,,6,27,0.13
PHYS350,Electrostatics Lecture,8:37:00 PM,8:50:00 PM,0:13,0:00,The Week Ahead: (Schedule):,,,,,,,,,6,28,0.15
PHYS350,Coulomb's Law Practice Problems,8:53:00 PM,9:31:00 PM,0:38,0:00,Monday:,,,,,,,,,6,29,0.14
SPAN501,Leer Paris por la ventana,9:56:00 PM,10:34:00 PM,0:38,0:00,Tuesday:,,,,,,,,,6,30,0.17
SPAN501,Vocabulario de Paris por la ventana,10:34:00 PM,10:40:00 PM,0:06,0:00,Wednesday:,,,,,,,,,6,31,0.00
Tuesday,DAY,9,/5,0:00,0:00,Thursday:,,,,,,,,,7,32,0.00
Wednesday,DAY,9,/6,0:00,1:45,Friday:,,,,,,,,,8,33,0.11
SPAN501,"Leer ""Online""",9:10:00 PM,9:42:00 PM,0:32,0:00,,,,,,,,,,8,34,0.10
SPAN501,"Vocabulario de ""Online""",9:43:00 PM,9:54:00 PM,0:11,0:00,"TODO: Write 50 more essays, cry, repeat",,,,,,,,,8,35,0.08
